Iteration,E,x1,x2
61,1.69714285714286,-2.71111111111111e+31,-9.72222222222222e+30
62,1.69714285714286,3.88888888888889e+31,6.77777777777778e+31
63,1.69714285714286,-2.71111111111111e+32,-9.72222222222222e+31
64,1.69714285714286,3.88888888888889e+32,6.77777777777778e+32
65,1.69714285714286,-2.71111111111111e+33,-9.72222222222222e+32
66,1.69714285714286,3.88888888888889e+33,6.77777777777778e+33
67,1.69714285714286,-2.71111111111111e+34,-9.72222222222222e+33
68,1.69714285714286,3.88888888888889e+34,6.77777777777778e+34
69,1.69714285714286,-2.71111111111111e+35,-9.72222222222222e+34
70,1.69714285714286,3.88888888888889e+35,6.77777777777778e+35
71,1.69714285714286,-2.71111111111111e+36,-9.72222222222222e+35
72,1.69714285714286,3.88888888888889e+36,6.77777777777778e+36
73,1.69714285714286,-2.71111111111111e+37,-9.72222222222222e+36
74,1.69714285714286,3.88888888888889e+37,6.77777777777778e+37
75,1.69714285714286,-2.71111111111111e+38,-9.72222222222222e+37
76,1.69714285714286,3.88888888888889e+38,6.77777777777778e+38
77,1.69714285714286,-2.71111111111111e+39,-9.72222222222222e+38
78,1.69714285714286,3.88888888888889e+39,6.77777777777778e+39
79,1.69714285714286,-2.71111111111111e+40,-9.72222222222222e+39
80,1.69714285714286,3.88888888888889e+40,6.77777777777778e+40
81,1.69714285714286,-2.71111111111111e+41,-9.72222222222222e+40
82,1.69714285714286,3.88888888888889e+41,6.77777777777778e+41
83,1.69714285714286,-2.71111111111111e+42,-9.72222222222222e+41
84,1.69714285714286,3.88888888888889e+42,6.77777777777778e+42
85,1.69714285714286,-2.71111111111111e+43,-9.72222222222222e+42
86,1.69714285714286,3.88888888888889e+43,6.77777777777778e+43
87,1.69714285714286,-2.71111111111111e+44,-9.72222222222222e+43
88,1.69714285714286,3.88888888888889e+44,6.77777777777778e+44
89,1.69714285714286,-2.71111111111111e+45,-9.72222222222222e+44
90,1.69714285714286,3.88888888888889e+45,6.77777777777778e+45
91,1.69714285714286,-2.71111111111111e+46,-9.72222222222222e+45
92,1.69714285714286,3.88888888888889e+46,6.77777777777778e+46
93,1.69714285714286,-2.71111111111111e+47,-9.72222222222222e+46
94,1.69714285714286,3.88888888888889e+47,6.77777777777778e+47
95,1.69714285714286,-2.71111111111111e+48,-9.72222222222222e+47
96,1.69714285714286,3.88888888888889e+48,6.77777777777778e+48
97,1.69714285714286,-2.71111111111111e+49,-9.72222222222222e+48
98,1.69714285714286,3.88888888888889e+49,6.77777777777778e+49
99,1.69714285714286,-2.71111111111111e+50,-9.72222222222222e+49
100,1.69714285714286,3.88888888888889e+50,6.77777777777778e+50
